year,d14c,sig_d14c,growth_season
760,-14.7,3.9,june-august
761,-19.7,3.5,
762,-16.4,4.6,
763,-18.3,3.5,
764,-18.4,3.9,
765,-16.9,3.5,
766,-16.1,3.5,
767,-18.1,4.6,
768,-21.3,3.5,
769,-12.2,3.6,
770,-19.9,3.5,
771,-16.6,3.5,
772,-15.2,3.6,
773,-17.4,3.5,
774,-17.1,3.5,
775,-3.2,3.5,
776,-3.6,3.6,
777,-3.2,3.5,
778,-7.9,2.9,
779,-8.9,2.8,
780,-7.4,2.9,
781,-8.2,3.1,
782,-5.6,4,
783,-8.9,2.7,
784,-11,2.8,
785,-11.1,3.8,
786,-11,4.4,
787,-9.2,3.6,
788,-9.4,3.5,
789,-13.4,3.4,
790,-14.1,3.2,
791,-13.3,3.3,
792,-19,4.2,
793,-17.1,3,
794,-12.4,3.1,
795,-13.8,3.8,
796,-9.2,2.8,
797,-13,2.8,
798,-8.1,3,
799,-11.8,2.8,
800,-8.7,2.8,
