,0
0,-0.4441190835579399
1,-0.4442841902186079
2,-0.4444460606816886
3,-0.44460283583549315
4,-0.44475165997084715
5,-0.4448881957438153
6,-0.4450059286883395
7,-0.4450951837537609
8,-0.44514175352133495
9,-0.44512501127273835
10,-0.4450153522949114
11,-0.4447707749525687
12,-0.444332381206207
13,-0.4436185476180684
14,-0.4425174970574212
15,-0.44087799410881273
16,-0.4384979008864157
17,-0.43511037271346203
18,-0.43036755479332994
19,-0.4238217657822424
20,-0.4149043407049669
21,-0.40290253810798143
22,-0.3869352186455238
23,-0.3659283472330341
24,-0.3385917562968216
25,-0.3033990047404646
26,-0.25857254451329326
27,-0.2020767218488534
28,-0.1316213446956995
29,-0.044678589369948105
30,0.0614841524149435
31,0.18975331312882415
32,0.34309861491335963
33,0.524482503016998
34,0.7367503613966753
35,0.9825038102037644
36,1.2639610032675264
37,1.582809465611629
38,1.9400585102330146
39,2.3358994803183717
40,2.7695828345978146
41,3.2393212893467767
42,3.7422277525818637
43,4.27429558525207
44,4.830426815362256
45,5.404511397745167
46,5.989557606547484
47,6.57787038014032
48,7.161271162835969
49,7.731349774738597
50,8.279736360888732
51,8.798379745639023
52,9.279817725730682
53,9.71742506314
54,10.105626185618611
55,10.440061778629568
56,10.71770137938283
57,10.936897520072407
58,11.097380629172426
59,11.200197490424202
60,11.247599299061338
61,11.24288800743356
62,11.190231544725235
63,11.094459532986013
64,10.960851285621622
65,10.794927235613716
66,10.602253605685076
67,10.388268295732338
68,10.15813379808162
69,9.916620673566
70,9.668022909043787
71,9.416104487660178
72,9.164074851131664
73,8.914589688958268
74,8.66977267835045
75,8.431253407140971
76,8.200216694220275
77,7.977458811907475
78,7.763446627819366
79,7.558376351621706
80,7.362229292961859
81,7.174822776746005
82,6.995855039548929
83,6.824943529212099
84,6.661656518623377
85,6.505538319213339
86,6.356128642257498
87,6.212976817407855
88,6.075651653751196
89,5.943747736976325
90,5.816888915103856
91,5.694729651310468
92,5.57695483112109
93,5.463278509311581
94,5.353441990990352
95,5.247211543630586
96,5.1443759653846834
97,5.044744165159631
98,4.94814285826561
