year,sig_d14c,d14c
760,1.8,-23.88507719
761,1.84,-23.88507718776953
762,2.02,-23.09836024402909
763,1.79,-22.187220218214446
764,1.77,-21.440959324995994
765,1.25,-21.096528047415795
766,1.83,-21.263289610971164
767,1.79,-21.888295431321158
768,1.85,-22.77309712685201
769,1.705,-23.63675701742642
770,1.82,-24.20505027959839
771,1.72,-24.297535663761547
772,1.26,-23.884848443805065
773,1.28,-23.098024180785306
774,1.73,-22.18689286637678
775,1.97,-21.440753935817117
776,1.3,-21.096519143684812
777,1.78,-21.263489320002133
778,1.76,-21.888649635726075
779,1.33,-22.773502647422568
780,1.27,-23.637094374123958
781,1.735,-24.205221628287905
782,1.76,-24.29749586319009
783,1.74,-23.884619388625563
784,1.76,-23.097687850835502
785,1.73,-22.186565292135466
786,1.77,-21.440548366904842
787,1.83,-21.096510078996065
